,work_program_id,description_text
1034,17488,"В процессе изучения дисциплины студенты знакомятся с теоретическими основами алгоритмов обработки естественного языка, учатся применять алгоритмы обработки естественного языка в соответствии с поставленной задачей, реализовывать программы и применять современные методы и библиотеки обработки естественного языка."
1037,25683,"Students will know the stages of the development of metagenomics, define the concept of ""omics"" methods for studying biodiversity, the significance of the Human Microbiome project; will be able to determine the metagenome of prokaryotes and humans, assemble genomic sequences, use metadata integration services; will have the skills to analyze metagenomic communities, use MG-RAST to analyze the bacterial metagenome, predict genes."
1038,33879,"В настоящее время развитие научно-технического прогресса невозможно без подготовленных квалифицированных специалистов, обладающих навыками самостоятельной научной работы, а также проведения научно-исследовательской деятельности в составе коллектива.
Целью изучения дисциплины является формирование у студентов навыков и умений в области методологии научного познания, формирования знаний о современной естественнонаучной картине мира для дальнейшего использования в научно-образовательной и профессиональной деятельности. Основными задачами дисциплины являются: освоение методологических основ естественнонаучного мышления; получение знаний в области моделирования различных процессов; освоение методик постановки научной гипотезы, оптимального эксперимента и обработки результатов измерений."
1039,33880,(7 семестр)
1040,33881,"Курс посвящен изучению основных понятий, методов и приемов статистики, используемых в различных областях науки, техники и экономики. Целью курса является формирование у студентов навыков сбора, анализа и представления статистической информации, а также интерпретации результатов статистического анализа."
1041,33882,(8 семестр)
1042,33883,"Целью курса является изучение основных идей и подходов, лежащих в основе современных методов математического моделирования явлений, процессов и систем, в том числе и с использованием современных ЭВМ. Особое внимание уделяется вопросам выбора методов моделирования, их верификации и анализа результатов моделирования.

Курс состоит из лекционной и практической части. На лекциях студенты познакомятся с основными концепциями математического моделирования и классификацией моделей, а затем с различными аналитическими и численными подходами, благодаря которым этим модели могут быть построены. Целью лабораторных работ является отработка навыков построения различных типов моделей самостоятельно или с использованием существующих инструментов."
1044,25694,"Курс посвещен основам бекенда для ML разработчиков. Будут рассмотрены основы бекенд разработки, дизайна API, сервинга ML-моделей и работа с базами данных.

Входные требования: базовые знания математики (на уровне школьной), знакомство с языком Python на уровне, достаточном для написания собственных функций, классов, скриптов, базовый опыт работы с библиотеками Pandas, Numpy, Scikit-Learn. Базовые навыки git и jupyter notebook."
1045,25695,"Этот курс представляет собой введение в инструменты и методы, которые необходимы для эффективного анализа данных и программирования. Студенты изучат различные темы, включая работу с интерактивными ноутбуками, управление программным обеспечением и пакетами, использование систем контроля версий, создание и использование API, планирование задач, использование GPU для вычислений и создание Docker контейнеров.

Начиная с основ анализа данных в Google Colab и Hugging Face, курс вводит студентов в мир Linux и управления программным обеспечением. Студенты также научатся использовать Git для контроля версий и Jupyter Notebooks для разработки исследовательских проектов. Продвинутые темы включают создание и использование API, планирование задач с использованием Slurm и других инструментов, а также использование GPU для ускорения вычислений.

В заключение курса студенты изучат основы работы с Docker и Docker Compose, чтобы создавать и управлять контейнерами для развертывания приложений.

Этот курс будет полезен для студентов, которые хотят развивать свои навыки в области анализа данных, разработки программного обеспечения и облачных вычислений. С полученными навыками они смогут эффективно решать задачи в современной IT-индустрии."
1046,25696,"Этот курс предназначен для обучения студентов практическому применению современных языковых и генеративных моделей в различных областях, таких как машинное обучение, искусственный интеллект и обработка естественного языка. Основное внимание уделяется развитию навыков работы с такими инструментами, как GPT (Generative Pre-trained Transformer) и другие подобные технологии."
1049,17505,"Курс ""Электротехника"" посвящен изучению физических принципов функционирования компонентов электрических цепей; освоению методов анализа электрических цепей постоянного и переменного тока в статических и переходных режимах работы; анализу электрических сигналов различных типов; исследованию свойств и характеристик реальных электронных схем и устройств."
1050,17504,"Цель: ознакомление студентов с основными компонентами ресурсных состояний, изучение их особенностей проявления в различных ситуациях, формирование практических умений и навыков оптимизации ресурсных состояний в будущей профессиональной  деятельности."
1055,25705,"Факультатив по теории игр предназначен для студентов разных направлений обучения. Уровень математической подготовки -начальный. В рамках курса будут изучаться такие базовые игровые задачи, как: матричные и биматричные игры, дилемма заключенного, игры с полной и неполной информацией и т.д., а также рассматриваться основные понятия (классификация игр, равновесие Нэша, доминирующие стратегии, чистые и смешанные стратегии)."
1056,25706,"Факультатив по теории игр предназначен для студентов разных направлений обучения. Уровень математической подготовки -профильный. В рамках курса будут изучаться такие базовые игровые задачи, как: матричные игры, кооперативные игры, переговоры и т.д. а также рассматриваться основные понятия (классификация игр, равновесие Нэша, доминирующие стратегии, чистые и смешанные стратегии)."
1058,17516,"This course is delivered by the experts in contemporary negotiation strategy and professional training – the Hyperum company, Moscow, Russia.We all negotiate daily, engaging both in online and face-to-face talks, participating in one-to-one and multiple party negotiations. Most people have some experience with the two ways negotiations have historically been conducted – the hard way that focuses on gains, also called the win-lose way, and the soft way that focuses on relationships. Both are obsolete, even though they may still be common.Today, in the age of permanent change and transformation, we need new approaches to negotiations, the ones that result in finding creative, mutually beneficial and truly collaborative solutions that take into account interests of all parties. So, the Negotiations, Influence and Conflict Management course is designed to build a solid understanding of how to plan, design and reach a win-win agreement. You will learn the best available modern approaches to negotiations, including 3D Negotiations, and the main principles of the Harvard, Kremlin and Swedish schools of negotiations.  The course also covers common biases and pitfalls that may accompany the negotiations process. Every day of the course will start with the interactive lecture and continue with practice sessions in groups. Practice sessions are the kernel of the program. Working in pairs and in groups, you will be challenged to prepare for and to conduct two-party and multiple-party negotiations. Daily practice will allow you to engage in hands-on discussions and learn to profile the other party, to discover the other party’s true interests, and to seek the zone of possible agreement and explore alternatives.Continuous feedback from professors and peers, as well as questionnaires like MBTI and Thomas-Kilmann Influence and Conflict Management Style Indicator will help you gain better awareness of your own preferences and current negotiations profile, identify your talents and set development goals for the future, personalizing your learning track and allowing you to build on your strengths and become a skilled negotiator."
1060,33902,"Дисциплина нацелена на приобретение практических навыков моделирования с использованием UML-диаграмм прецедентов, классов, состояний и т.д. Детально рассматриваются все фазы Rational Unified Process; деловое моделирование, требования, анализ и проектирование, реализация, тестирование, развертывание, управление конфигурацией и изменениями, управление проектом. Изучаются методики разработки, поддержки и сопровождения программного обеспечения и их особенности; современные архитектурные принципы организации программного обеспечения. 1 семестр"
1061,33903,"Дисциплина нацелена на приобретение практических навыков моделирования с использованием UML-диаграмм прецедентов, классов, состояний и т.д. Детально рассматриваются все фазы Rational Unified Process; деловое моделирование, требования, анализ и проектирование, реализация, тестирование, развертывание, управление конфигурацией и изменениями, управление проектом. Изучаются методики разработки, поддержки и сопровождения программного обеспечения и их особенности; современные архитектурные принципы организации программного обеспечения. 2 семестр"
1062,33904,"Дисциплина нацелена на обеспечение уровня знакомства с актуальными технологиями, достаточного для исследований в области проектирования и разработки доступных веб-интерфейсов. Её содержание включает языки разметки и каскадных стилей, вёрстку и использование Web API с помощью языка JavaScript/TypeScript, основы серверных веб-технологий, включая Node.js. 1 семестр"
1064,33906,"Дисциплина нацелена на обеспечение уровня знакомства с актуальными технологиями, достаточного для исследований в области проектирования и разработки доступных веб-интерфейсов. Её содержание включает языки разметки и каскадных стилей, вёрстку и использование Web API с помощью языка JavaScript/TypeScript, основы серверных веб-технологий, включая Node.js. 2 семестр"
1065,33907,1 семестр
1066,33909,1 часть
1067,17526,"""Физическая культура"" и ""Физическая культура (элективная дисциплина)"". Освоение дисциплины происходит в течение 6 семестров (1-3 курсы бакалавриата).Для получения зачёта в каждом семестре необходимо набрать 100 баллов. Баллы можно получить на тренировках спортивных секций, а также за спортивные достижения и участие в спортивных соревнованиях и спортивных сборах. Подробнее о получении баллов можно прочитать в Памятке студенту."
1068,33910,2 часть
1069,17528,"Курс является межфакультетским модулем мегафакультета трансляционных информационных технологий. Курс построен таким образом, чтобы покрыть все разделы цикла трансляционных исследований от анализа предметной области, обоснования гипотез и выбора путей их исследования до разработки методик использования цифрового образа и создания демонстраторов задач и технологий. После освоения дисциплины студенты получат знания о современных методах анализа фактографической информации, системном анализе и информационном моделировании, моделях на данных и их обучении, интеллектуализации процесса цифровых научных исследований и разработок и технологиях использования результатов в предметных областях. """
1070,33911,2 семестр
1071,25722,"Курс обращается к изучению истоков и факторов формирования культуры  России в контексте мировых культурных процессов, анализирует черты  сходства и различия различных культур, прослеживает причины, формы и результаты их связей на протяжении всех этапов истории – от  языческой Руси до сегодняшнего дня. Студенты изучают культуру и искусство в историческом контексте, художественное познание как одну из форм познания мира, осваивают основы анализа художественных произведений с помощью стратегии визуальной коммуникации, знакомятся с подлинниками в Эрмитаже, Русском музее и других  историко-культурных музеях Петербурга."
1072,33913,В процессе изучения дисциплины студенты знакомятся с основами программирования на языке Python от создания простейших программ до основ объектно-ориентированного программирования. Также знакомятся с общими методологиями и практиками разработки программного обеспечения.
1073,25724,"Дисциплина предполагает изучение истории науки и техники в России и их роли в развитии страны в различные периоды истории, а также роли российской науки в мировом научно-техническом прогрессе. Основными разделами, изучаемыми в рамках дисциплины, являются: научные знания и технологии в допетровской Руси, становление российской науки в период петровских реформ и XVIII в., история российских научных и технических прорывов XIX – начала XX вв., история советской науки и техники, современное состояние науки и техники в России. Актуальность курса определяется недостаточным отражением данной тематики в школьном курсе истории России, а также значимостью изучения данных вопросов для формирования у студентов полноценного научного мировоззрения."
1074,25725,"Курс рассматривает становление и развитие взаимоотношений государства и общества с момента возникновения государственности до сегодняшнего дня на территориях, занимаемых Российским государством на протяжении всего исторического времени (IX-XXI вв.). Знание социальной истории нашей страны поможет пониманию необходимости укрепления современного российского общества, прогнозированию перспектив его развития."
1075,25726,"В рамках курса рассматриваются ключевые события истории последнего столетия, оказавшие влияние на дальнейшее развитие стран и на формирование современной России. В ходе обучения студенты познакомятся с малоизвестными и дискуссионными вопросами истории Первой и Второй мировой войны, историей русской революции 1917 г., перелома эпох, историей гражданских войн и их влиянием на развитие политической и социально-экономической ситуации в России и мире. Актуальность: Изучение курса позволит студентам получить знания о различных трактовках происходивших в ХХ столетии событий, основных терминах и понятиях современного исторического процесса, а также сформировать компетенции, необходимые для выработки собственной позиции и овладения аргументированным и корректным стилем ведения научной дискуссии."
1076,25727,"Дисциплина «Россия в истории современных международных отношений» посвящена внешнеполитическим проблемам истории России и СССР в XX в. Курс охватывает три эпохи (Российская империя, советский период и современная Россия), поэтому студенты получают возможность познакомиться с положением нашего государства на международной арене в разное время, увидеть в динамике трансформацию внешнеполитических задач нашего государстрва. Курс начинается с конца XIX века, когда зарождались современные международные отношения, однако главное внимание направлено на события ХХ века и те изменения, которые он привнес (появление атомного оружия, появление и распад государственных образований и геополитических блоков/союзов, мировые войны и локальные конфликты). Особое внимание уделяется истории международных организаций (Лига Наций, ООН) и роли России/СССР в их создании и функционировании."
1077,25728,"Курс фокусируется на значимых отечественных исторических деятелях и их реформах: Иване IV и опричнине, Петре Великом и его преобразованиях, Екатерине II и её ""Просвещённом абсолютизме"", Александре II и «Великих реформах», В.И. Ленине и НЭПе, И.В. Сталине и модернизации страны в конце 1920-х - 1930-х гг, Л. И. Брежневе и ""эпохе застоя"",  М.С. Горбачёве и перестройке, Б. Н. Ельцине и новом политическом курсе в 1990-х гг.
Актуальность: На занятиях обучающиеся познакомятся с оценками отечественных и зарубежных исследователей реформ в истории России, приобретут навыки работы с различными историческими источниками, научатся выявлять причинно-следственные связи и формулировать собственную точку зрения по тем или иным вопросам отечественной истории, а также аргументированно и корректно отстаивать её."
1078,33917,"The Microorganisms basics course provides training in the basics of working with bacterial cultures and conducting experiments in microbiology. The course includes basic concepts of microorganisms, principles of working under aseptic conditions, microbiology techniques, working with various methods for assessing bacterial viability, and designing a typical experiment to assess MIC/MBC and antibiotic resistance. All trainings are going to hold with microorganisms which student will get from own samples (soil/food/skin and etc.) As a result of completing the course, students will be able to conduct basic experiments in microbiology and analyze the data obtained."
1079,17538,"Практика нацелена на развитие индивидуальных и личностных способностей каждого обучающегося в рамках реализации собственных научно-исследовательских проектов.
Если вы обучаетесь на русском языке и планируете сдавать отчетную документацию на русском языке, то вам необходимо выбрать данный вид практики."
1083,33923,"This course is designed to introduce participants to the principles, approaches, and methodologies employed in the field of microfluidics. Through theoretical discussions and hands-on practical sessions, students will explore various methods for designing and fabricating microfluidic chips. Additionally, participants will learn how to utilize microfluidics for the production of nanoparticles and gain insights into the emerging field of droplet microfluidics."
1085,17550,Практика нацелена на развитие индивидуальных и личностных способностей каждого обучающегося в рамках реализации собственных научно-исследовательских проектов.
1087,25748,"Дисциплина Введение в профессиональную деятельность знакомит слушателей с многообразием задач в области информационной безопасности: от теоретических основ до разделов практической и прикладной кибербезопасности. В рамках данной дисциплины изучаются вопросы защиты информации в современных технологиях обработки информации, технические средства защиты информации, основы безопасной разработки, введение в CTF, основы криптографии, основы машинного обучения в ИБ, введение в вирусологию, обеспечение сетевой безопасности, стратегия и общие принципы защиты информации, документационное обеспечение информационной безопасности.
После окончания курса у слушателя появляется понимание о картине мира в области защиты информации необходимая для дальнейшего углубленного изучения каждого из направлений в рамках специализированных курсов."
1091,25762,"Студенты рассмотрят технологии ИИ с точки зрения специалистов, которые должны рассказывать о них понятно для аудитории разной степени подготовки. Будут рассмотрены основные понятия и методы искусственного интеллекта: решение задач, поиск, дедукция, интеллектуальные агенты, представление знаний."
1092,24144,"В данном курсе изучается устройство различных типов СУБД, использующих различные модели данных. На занятиях мы рассмотрим архитектуры, компоненты и алгоритмы, применяющиеся в этих СУБД. Особое внимание будет уделено обработке запросов. В курсе будут затронуты реляционные системы (как централизованные, так и распределенные), колоночные СУБД, системы для обработки слабоструктурированных данных (на примере XML СУБД), объектные СУБД, многомерное индексирование и настройка физического уровня. На практических занятиях мы будем строить исполнитель запросов реляционной СУБД. Слушателям курса будет выдан базовый прототип и дан доступ в систему автоматического тестирования. От студентов ожидается знакомство с базами данных, умение программировать на языке C++ и опыт работы в unix-подобных системах."
1095,25770,"Курс ""Организация научных исследований"" разработан для магистрантов, нацеленных на понимании основных аспектов исследовательской деятельности. Цель курса - помочь студентам выстроить траекторию развития научного исследования в интересующей области и сформировать понимание основных элементов, влияющих на продвижение в карьере ученого. Предмет рассматривается с позиции межличностных отношений и эффективности использования “гибких навыков” для развития научной карьеры."
1098,17580,"Это экспериментальный курс, предназначенный для будущих IT-специалистов, целью которого является вызвать интерес к непрофильной дисциплине.  Цель курса - научить студентов использовать знания фундаментальных законов природы и основных законов физики для решения практических инженерных задач в области проектирования и разработки компьютерных  систем. Курс позволяет научиться анализировать результаты экспериментальных данных в рамках современных физических моделей."
1099,9393,"Курс посвящен изучению изучению достаточно сложных численных методов, которые необходимы для исследования и моделирования физических систем и объектов. Эти методы используются для решения краевых задач для обыкновенных дифференциальных уравнений, многомерной интерполяции и интегрирования, решения интегральных уравнений. Особое внимание уделяется решению дифференциальных уравнений в частных производных с использованием конечно-разностных и проекционных методов. В результате освоения курса студенты получают как теоретические знания, так и практические навыки реализации изучаемых методов с использованием языка Python."
1110,33982,"Дисциплина ""Философия и научная методология в дизайне"" представляет собой аналитику дизайнерской деятельности через философские методы с привязкой к специализациям магистерской программы ""Мультимедиа-технологии, дизайн и юзабилити"". Также в рамках этой дисциплины студент на практике знакомится с технологиями поиска статей в реферируемых базах научных публикаций, и с требованиями к формулировке научных гипотез для экспериментального исследования."
1111,33983,"Дисциплина является продолжением дисциплины ""Философия и научная методология в дизайне"" и нацелена на изучение и применение на практике методов планирования, проведения и обработки результатов научного эксперимента в рамках исследования дизайнерской деятельности, мультимедийных технологий и человеко-компьютерного взаимодействия."
1112,17600,"If you study in English and plan to prepare the report in English, you should choose this internship."
1113,33984,"Дисциплина является продолжением дисциплины ""Философия и научная методология в дизайне"" и нацелена на изучение и применение на практике методов планирования, проведения и обработки результатов научного эксперимента в рамках исследования дизайнерской деятельности, мультимедийных технологий и человеко-компьютерного взаимодействия."
1114,33914,"В процессе изучения дисциплины студенты знакомятся с многопоточным и функциональным программированием на языке Python, изучают архитектурные паттерны, продолжают изучение языка Python, знакомятся с его основными веб-фреймворками и инструментами анализа данных. Также углубляют знания об общих методологиях и практиках разработки программного обеспечения."
1115,17604,"The discipline consists of two parts: 1) The part ""Introduction to Machine Learning (Python)"" discusses different types of machine learning, demonstrates practical examples how to solve various problems with machine learning methods using the Python programming language. The main focus is on regression problems, classification and clustering problems tasks. 2) The part ""Advanced Machine Learning (Python)"" shows how to reduce the feature set dimension in factor analysis. Further, the support vector machines, decision trees, model ensembles and another type of machine learning i.e. reinforcement learning are considered."
1116,17605,"The discipline consists of two parts: 1) The first part ""Advanced Machine Learning (Python)"" shows how to reduce the feature set dimension in factor analysis. Further, the support vector machines, decision trees, model ensembles and another type of machine learning i.e. reinforcement learning are considered. 2) the second part ""Automatic Text Processing"" discusses the algorithms and tools of natural language processing. After a brief introduction to the history of the field, various approaches are considered that process texts at different levels : from tokenization to parsing. The main focus is on algorithms that use machine learning for text processing. After finishing this part of the discipline, students will have an idea of the landscape of modern automatic text analysis methods and will try several most common tools in practice, such as pymorphy2, mystem, NLTK, scikit-learn, UDPipe, etc."
1117,17606,"The discipline consists of two parts: 1) The first part ""Big Data: Storage Technologies"" discusses how to organize big data storage using relational databases and NoSQL storages. The methods of designing data structures, data query language and processing techniques of structured and semi-structured data are studied. 2) The second part ""Introduction to Machine Learning (Python)"" discusses different types of machine learning, demonstrates practical examples how to solve various problems with machine learning methods using the Python programming language. The main focus is on regression problems, classification and clustering problems tasks."
1118,17607,"The course ""Advanced Natural Language Processing"" covers a wide range of methods for solving practical problems, ranging from plagiarism detection to text generation. The building blocks of neural networks, ways of modifying them and quality measurement metrics for solving target problems are analyzed."
1119,17609,"Students will study software development methodologies and programming technologies, methods and tools for the development and analysis of functional requirements for a project, theoretical foundations for in-depth training, modern technological solutions in the field of neural networks and in-depth training, modern development tools. neural networks, a plan for the development of system requirements, methods for evaluating and analyzing project results, methods and tools for organizing project data, methods for organizing neural networks, ways to use Roiko neural networks, methods for preparing test data sets, components of neural network architecture, regulatory documents, methods and tools risk management, main types of diagnostic data and presentation methods. Students will learn to apply methods and tools for analyzing functional requirements for an integration solution, apply methods and tools for developing technical specifications for an integration solution, make a choice of tools for developing neural networks; choose types of neural networks in relation to project tasks, draw up reports in accordance with existing standards, apply software development methodologies, apply software development project management methodologies, use tools for joint development of neural networks, interpret solution health diagnostics data, apply risk management methods and tools. At the end of the course, students will be able to: plan design work, choose methodologies and templates, design neural network architecture, assess the state of analytical work in accordance with the plan, describe the state of analytical work in a report format, choose development tools, determine a set of libraries of reusable modules, deploy and configure tools for joint development of neural networks, assessing the quality of test data sets in accordance with the selected program and testing method, identifying risk management applications, risk analysis and assessment, choosing ways to respond to them and provide the necessary resources."
1120,17610,"The discipline is a set of scientific, methodological and instrumental tools for the full cycle of research work using end-to-end technologies: from the search for scientific sources and their analysis to the systematic presentation of research results based on the mathematical apparatus and translational information technologies, including graphic languages for modeling and visualization."
1121,17611,"Students will study the principles of construction and the basics of organizing the development of modern software solutions for processing big data, typical errors that occur when working with big data, and the signs of their manifestation, methods for eliminating typical errors that arise when working with big data. an integration solution, the main mechanisms and algorithms for analyzing big data and extracting knowledge from them, principles and technologies for the functioning of the chosen integration platform, the capabilities of modern and promising means of integrating systems and other applications and services, principles for processing, storing and protecting data."
1122,33997,"Students will know how to formulate the basic concepts of comparative and evolutionary molecular neuroscience; to describe the structural features and molecular mechanisms of the nervous system; to understand the neurophysiological mechanisms of cognitive functions; to justify the basic setup and the apparatus used for the solution of research tasks in the field of molecular neuroscience; to explain the principles of operation of modern technological equipment for scientific and research tasks in the field of molecular neuroscience; to describe the structure and principles of functioning of neuronal membranes, features of proteins, lipids and energy in the Central nervous system; to formulate molecular mechanisms of interneuronal interactions; to reproduce the main neurotransmitter systems, neurochemical mechanisms underlying the development of pathological conditions of the nervous system."
