work_program_id,description_text,references
18877,"особенности содержания и прохождения практики.

в ходе освоения практики обучающийся должен: 

иметь практический опыт: 
-сбора информации; 
-составление плана работ организации/компании/подразделения/проекта; 
-контроля качества работы персонала; 
-составления отчётно-плановой документации о деятельности организации /компании/подразделения/проекта; 
-проведения презентаций; 
-расчёта основных финансовых показателей деятельности организации /компании/подразделения/проекта. 

уметь: 
- собирать информацию о работе организации/компании/подразделения/проекта; 
-использовать различные методы принятия решений; 
-составлять план работы организации/компании/подразделения/проекта; 
-организовывать и проводить деловые совещания, собрания, круглые столы, рабочие группы; 
-работать в команде и осуществлять лидерские функции; 
-осуществлять эффективное общение; 
-проводить инструктаж работников; 
-контролировать качество работы персонала;
-управлять конфликтами; 
-пользоваться стандартным программным обеспечением для организации делопроизводства; 
-оформлять отчётно-плановую документацию по работе организации/компании/подразделения/проекта; 
-проводить презентации; 
-рассчитывать основные финансовые показатели работы организации организации/компании/подразделения/проекта; 
-собирать информацию о качестве работы организации/компании/подразделения/проекта; 
-оценивать и анализировать качество работы организации/компании/подразделения/проекта; 
-разрабатывать меры по повышению эффективности работы организации/компании/подразделения/проекта; 
-внедрять инновационные методы работы.

знать: 
-значение планирования как функции управления; 
-методику сбора информации о работе организации/компании/подразделения/проекта; 
-виды планирования и приёмы эффективного планирования; 
-эффективные методы принятия решений; 
-основы организации отраслей деятельности; 
-стандарты качества в отраслях; 
-правила организации делопроизводства; 
-приемы эффективного общения, мотивации персонала и работы с конфликтами, 
-методики эффективной организации деловых встреч и совещаний; 
-принципы эффективного контроля; 
-организацию отчётности; 
-основные финансовые показатели деятельности организации/компании/подразделения/проекта  и методику их расчета; 
-методику проведения презентаций; 
-основные показатели качества работы организации/компании/подразделения/проекта; 
-методы совершенствования работы организации/компании/подразделения/проекта; 
-инновации в сфере управления организациями в различных отраслях. 

по окончании производственной-преддипломной практики студент сдаёт отчёт и защищает презентацию в соответствии с содержанием тематического плана практики.","Студент должен: -сбор информации о работе организации/компании/подразделения/проекта, -оформлять отчёт и защищать презентацию."
24920,"данный курс посвящён методам математического моделирования на глубоком абстрактном уровне. в основе курса лежит теория множеств и свойства операторов. по своей структуре курс близок классическому функциональному анализу, но отличается от него большей прикладной направленностью. цель курса - подготовить магистров к теоретической исследовательской работе в различных областях деятельности, где главную роль играет математическое моделирование физических, химических, экономических и прочих природных процессов.",В основе курса лежит теория множеств и свойства операторов.
33062,рпд для физического факультета,рпд для физического факультета.
35274,"в этом курсе студенты узнают каким образом осуществляется управление проектами в сфере ит, познакомятся с разными видами ит-проектов, ролями в проектной команде, овладеют инструментами и подходами к анализу и принятию решений в проектной деятельности. освоят базовые навыки руководства и координации людьми и материальными ресурсами. в курсе будет рассмотрена вся технологическая цепочка разработки и внедрения программного обеспечения, студенты на практике выполнят собственный ит-проект от планирования до внедрения","Студенты узнают, как работает управление проектами в сфере ит, овладеют инструментами и подходами к анализу и принятию решений в проектной деятельности."
35276,"в курсе изучается комплексная деятельность ит-департамента на промышленном предприятии, в том числе деятельность по разработке, развертыванию, поддержке и сопровождению информационных систем, частью которых является программное обеспечение. рассматриваются основные аспекты жизненного цикла информационной системы, фокусируясь на основных стадиях и их содержании, а также модели, стандарты и фазы жизненного цикла информационной системы в структуре единого ит ландшафта предприятия.",В курсе изучаются основные аспекты жизненного цикла информационной системы.
33063,стандартная,Стандартная форма стандартная для стандартной формы.
33064,для гринтеха,Для грумов.
33065,для фитип,Фитип.
24927,"цель изучения дисциплины – расширение навыков, полученных в основном курсе по дискретной математике.","Цель изучения дисциплины - расширение навыков, полученных в основном курсе по дискретной математике."
24930,"дифференциальные уравнения являются мощным инструментом математического моделирования физических, химических, биологических, экономических, а также многих других процессов и явлений. в результате прохождения курса обучающиеся приобретут базовые навыки работы с дифференциальными уравнениями, в частности, научатся аналитически находить решения некоторых типов уравнений и их систем. кроме того, обучающиеся получат представление о том, как дифференциальные уравнения могут быть использованы в прикладных областях знания.","В результате прохождения курса обучающиеся узнают, как дифференциальные уравнения могут быть использованы в прикладных областях знания."
18947,"практика нацелена на развитие индивидуальных и личностных способностей каждого обучающегося в рамках реализации собственных научно-исследовательских проектов.
если вы обучаетесь на русском языке и планируете сдавать отчетную документацию на русском языке, то вам необходимо выбрать данный вид практики.","Если вы обучаетесь на русском языке, то вам необходимо выбрать данный вид практики."
33073,"дисциплина ""алгоритмы и структуры данных"" является вводным курсом в алгоритмы программирования и структуры данных. в нем подробно даются наиболее известные алгоритмы, что позволяет разобраться в их анализе студентам с начальными знаниями в математике и программировании. в курсе описаны одни из самых популярных постановок задач, которые часто являются составной частью более сложных практических задач и предложены стандартные пути их решения. все представленные в курсе алгоритмы сопровождаются описаниями методов для анализа их производительности, что дает достаточную теоретическую и практическую подготовку для самостоятельной разработки и последующего анализа алгоритмов завершившими курс студентами.
(первый семестр реализации)","В курсе описаны наиболее популярные алгоритмы программирования и структуры данных, которые помогают студентам с начальными знаниями в математике и программировании."
18966,"дисциплина ""дискретная математика"" направлена на формирование математической и информационной культуры у студентов, привитие понимания универсального характера дискретных структур данных, понимания роли и места дискретной математики в системе наук, а также развитие абстрактного мышления, общей математической и информационной культуры мышления.",Дискретная математика направлена на развитие математической и информационной культуры у студентов.
18967,"дисциплина ""алгоритмы и структуры данных"" представляет собой вводный курс в компьютерные алгоритмы и структуры данных. в нем достаточно подробно и просто описаны наиболее известные алгоритмы, что позволяет приобщиться к их анализу и разработке студентам с базовыми знаниями в математике, программировании и унифицированных пакетов программ. в курсе описаны одни из самых популярных постановок задач, которые часто являются составной частью более сложных практических задач и предложены стандартные пути их решения. все представленные в курсе алгоритмы сопровождаются описаниями подходов для анализа их производительности, что дает достаточную теоретическую и практическую подготовку для самостоятельной разработки и последующего анализа алгоритмов прошедшими курс студентами.","В курсе описаны наиболее популярные алгоритмы и структуры данных, которые используются студентами с базовыми знаниями в математике, программировании и унифицированных пакетах программ."
18970,"в рамках изучения дисциплины рассматриваются базовые основы языка си, а также его углубленные знания.","В рамках изучения дисциплины изучаются базовые основы языка си, а также его углубленные знания."
18972,"в рамках изучения данной дисциплины рассматриваются организация эвм, принципы работы процессора, памяти и запоминающих устройств, а также программная архитектура эвм.","В рамках изучения данной дисциплины изучаются принципы работы процессора, памяти и запоминающих устройств."
18976,"в результате освоения курса студенты получат представление об основных методах алгебры, смогут использовать и проверять алгебраические соотношения в прикладных математических задачах, ориентироваться в основных алгебраических структурах и видеть связи между ними. узнают о свойствах объектов основных алгебраических структур, выработают навык обращения с объектами линейного пространства (точки, прямые, плоскости, квадратичные кривые и поверхности) научатся использовать линейные преобразования и исследовать структуру пространств на которых они действуют. также слушатели получат представление о базовых понятиях аналитической геометрии – векторе, прямой, плоскости, кривой 2 порядка, поверхности 2 порядка, аффинном преобразовании, познакомятся с их свойствами и научатся применять эти свойства при решении задач.","Студенты узнают о базовых понятиях аналитической геометрии - векторе, плоскости, квадратичной кривой и поверхности."
18977,"математический анализ - один из основных разделов математики наряду с алгеброй и геометрией. предметом изучения математического анализа является функция переменной величины, которая, как математическая модель, используется для описания множества естественных и технических процессов.
целью освоения учебной дисциплины является создание теоретических основ, позволяющих в дальнейшем осваивать другие дисциплины математического и естественнонаучного, а также профессионального циклов, способствующих формированию общекультурных и профессиональных компетенций, необходимых для осуществления научно-исследовательской, проектной и педагогической деятельности.","В математике используется функция переменной величины, которая используется для описания множества естественных и технических процессов."
35366,"реалии современной жизни диктуют необходимость получать в дополнение к академическим навыкам прикладные знания и умения . финансовая грамотность - набор инструментов для реализации своих финансовых целей. на курсе мы научимся видеть новые возможности в привычных действиях, сформируем полезные привычки и узнаем, что такое личный финансовый план. набор тем курса включает все основные пласты денежных отношений, с которыми сталкивается современный человек, такие как дебетовые и кредитные карты и консервативные банковские продукты. конечно, мы коснемся и темы инвестиций: рассмотрим фондовый рынок,  недвижимость. отдельно среди тем лекций вынесены налоговые вычеты и финансовая безопасность. помимо теоретических лекций мы закрепим полученный материал на практике через работу с показательными кейсами. результатом прохождения курса станет осознанное отношение к деньгам и определение  финансовых планов на будущее.","На курсе мы научимся понимать, что такое личный финансовый план."
18992,"органическая химия изучает соединения углерода – углеводороды и их производные, в состав которых могут входить любые элементы периодической системы. соединения углерода отличаются многообразием, специфическими свойствами и исключительным значением в жизни человека. особое положение органической химии в системе наук обусловлено тесной связью с биологией: органические вещества составляют основу живой материи, являясь носителями процессов жизнедеятельности. органические вещества являются продуктами и средствами производства во многих отраслях химической промышленности: пластмасс, резины и искусственного каучука, растворителей, красителей, лаков и пигментов, моторных топлив и смазочных материалов, фармацевтических препаратов, текстильных и пищевых материалов и др. развитие органического синтеза позволяет не только получать природные вещества, но и изучать молекулярные механизмы процессов жизнедеятельности.",Органическая химия изучает соединения углерода и их производные.
18993,"курс ""неорганическая химия"" посвящен изложению основных закономерностей в изменении химических свойств элементов главных и побочных подгрупп периодической системы элементов д.и. менделеева.","Курс ""неорганическая химия"" посвящен изложению основных закономерностей изменения химических свойств элементов главных и побочных подгрупп периодической системы элементов д.и. менделеева."
19006,"дисциплина ""экомониторинг"" сформирует у студентов четкое представление о понятии ""экологический мониторинг"", позволит расширить знания в области современного природопользования и вопросах влияния деятельности промышленных предприятий на объекты окружающей среды. кроме того, студенты познакомятся с основами экономики природопользования, инженерными и организационными мероприятиями, направленными на снижение антропогенной нагрузки на окружающую среду.","Студенты познакомятся с основами экономики природопользования, инженерными и организационными мероприятиями, направленными на снижение антропогенной нагрузки на окружающую среду."
19007,"в курсе рассмотрены основные положения теории электрических цепей, основы промышленной электроники и вопросы устройства и рабочих свойств электрических машин.курс предназначен для обучения студентов бакалавриата неэлектротехнических направлений подготовки.в процессе обучения закладывается базис общеинженерной подготовки, необходимый при изучении специальных дисциплин.",Курс предназначен для обучения студентов бакалавриата неэлектротехнических направлений подготовки.
19008,"цель курса - ознакомление с принципами и концепциями современной экологии. в рамках занятий студенты изучат закономерности функционирования природных систем, их свойства и структуру. на основе знакомства с иерархическим рядом экосистем слушатели сформируют представление о живой природе как о целостной и взаимосвязанной системе.
после завершения курса у студентов будут сформированы необходимые знания, умения и навыки для последующего знакомства с конкретными вопросами рационального природопользования и охраны природы.","Студенты изучат закономерности функционирования природных систем, их свойства и структуру."
19009,"в дисциплине рассматриваются такие вопросы, как: методы обработки результатов измерения, система воспроизведения единиц физических величин и передачи размера средствам измерений, способы оценки точности (неопределенности) измерений. после прохождения дисциплины студенты смогут проводить обработку экспериментальных данных и оценивать погрешности (неопределенности) измерений, применять на практике методы обработки результатов измерения, решать задачи в области общей теории измерений.","В дисциплине рассматриваются такие вопросы, как: методы обработки результатов измерения, система воспроизведения единиц физических величин и передачи размера средствам измерений."
19010,"в ходе освоения данной дисциплины, студенты познакомятся с основными факторами экологических рисков и способами их минимизации. дисциплина направлена на формирование у студентов представления о методах качественного и количественного оценивания техногенного и экологического риска, приемах анализа всей достоверной информации и сопоставления различных точек зрения в процессе принятия решений.",Студенты познакомятся с основными факторами экологических рисков и способами их минимизации.
19011,"дисциплина направлена на формирование у студентов знаний и умений, позволяющих составлять и вести документацию и отчетность в области охраны окружающей среды и использования природных ресурсов.","Учебная дисциплина направлена на формирование у студентов знаний и умений, позволяющих вести документацию и отчетность в области охраны окружающей среды и использования природных ресурсов."
19012,"программа содержит теоретические основы и практические подходы к определению ущерба отдельным компонентам окружающей среды, характеристике близких и отдаленных последствий воздействия на природную среду. в рамках изучения этой дисциплины студенты выработают актуальный взгляд и действенные навыки для выполнения задач по охране и восстановлению природной среды с помощью научных, технических, экономических, административных, нормативно-правовых, экологических методов.",Программа содержит теоретические основы и практические методы по охране и восстановлению окружающей среды.
19013,"на занятиях студенты узнают основы экологического права, изучат основные законодательные акты и документы необходимые для предприятий в соответствии с законодательством рф в области природоохранной деятельности.","Студенты узнают основы экологического права, изучат основные законодательные акты и документы в области природоохранной деятельности."
19017,"основная цель курса – помочь будущим специалистам разобраться и свободно ориентироваться в многочисленных проблемах взаимодействия и взаимообусловленности органического и неорганического мира нашей планеты, в том числе и в проблеме взаимоотношения человечества и окружающей его среды в гео- и экосистемах крупного иерархического ранга. 
в процессе знакомства с данным курсом студенты приобретут дополнительные знания для прикладных исследований в области рационального природопользования и охраны природы, усвоят основные понятия, которыми оперирует геоэкология и выяснят отличия данной науки от близкородственных дисциплин (биологии, географии, геологии).","В процессе знакомства с данным курсом студенты узнают основные понятия, которыми оперирует геоэкология."
19018,"в рамках курса обучающиеся познакомятся в концепцией устойчивого развития, разберутся в современных подходах перехода к реализации концепции и получат представление о главных возможностях и противоречиях, возникающих при попытке сочетания социальных, экономических и экологических интересов общества. в результате изучения данного курса студенты получат системное представление о глобальных вызовах человечества, мировых задачах перехода к устойчивому развитию, а также сформируют представление о том, какую роль занимает их направление подготовки как в устойчивом развитии, так и во всех аспектах существования общества.","В ходе изучения курса студенты узнают о глобальных вызовах человечества, о главных проблемах развития общества, а также разберутся в современных подходах перехода к устойчивому развитию."
19020,"на курсе студенты познакомятся с биологическими аспектами понятия информации, основными закономерностями реализации жизнедеятельности и функционирования клетки, изучат методики и подходы исследования и моделирования строения и функционирования биологически-активных молекул. по окончанию курса студенты будут способны осуществлять поиск информации о биологическом объекте по базам данных и анализиров",Студенты смогут найти информацию о биологическом объекте по базам данных и анализировать ее.
19022,"образовательная программа посвящена основам материаловедения и состоит из трёх блоков: основы кристаллографии, основы теории дефектов, фазовые диаграммы","образовательная программа состоит из трёх блоков: основы материаловедения, основы кристаллографии, теории дефектов, фазовые диаграммы."
19023,"курс посвящен изучению базовых частей и программного обеспечения роботов, включая составные части и системы координат роботов, условия и циклы роботов, опрос внутренних и внешних датчиков роботов, функции, процедуры и прерывания роботов.",Курс посвящен изучению базовых частей и программного обеспечения роботов.
19027,"основываясь на понимании того, как функционируют организмы водных и наземных экосистем будут проанализированы основные причины сокращения биоразнообразия (изменение климата, загрязнение среды, утрата мест обитаний, инвазивные виды, потеря опылителей, и т.д.). после завершения курса слушатели смогут разрабатывать и оценивать мероприятия для снижения негативного воздействия человека - как прямого, так и косвенного с целью сохранения биоразнообразия.",После окончания курса слушатели смогут анализировать причины сокращения биоразнообразия.
19039,"перед экологами на предприятиях всегда есть большой перечень задач, которые можно решить с использованием автоматизированных систем. именно о таких системах пойдет речь на курсе. обучающиеся познакомятся с программами, которые применяются для расчёта оценки воздействия на окружающую среду и разработки природоохранной документации.","На курсе будут изучать программы, которые применяются для оценки воздействия на окружающую среду и разработки природоохранной документации."
19040,"человек в своей жизни сталкивается с огромным количеством информации, которую ему необходимо обрабатывать при помощи различных инструментов. в любой отрасли, и особенно в области защиты окружающей среды и устойчивого развития,  всё чаще становится необходимо работать с электронными таблицами, поэтому навыки работы с ними помогут облегчить и ускорить процесс взаимодействия человека и информации.","Человек в своей жизни сталкивается с огромным количеством информации, которую необходимо обрабатывать при помощи электронных таблиц."
19041,"курс предназначен для обучающихся по специальности 19.03.01 «биотехнология», содержит основные законы и понятия механики и молекулярной физики. курс призван дать студентам базовые знания в области классической механики, молекулярной физики, электричества и магнетизма.","Курс предназначен для студентов по специальности 19.03.01 ""биотехнология"", содержит основные законы механики, электричества и магнетизма."
19044,"научно-исследовательский семинар предваряет практику для студентов 2 года обучения, служит подготовкой для практики, которая запланирована на 4 семестр.
на данном семинаре бакалавры будут учиться готовить, писать и представлять свою научную работу",На научно-исследовательском семинаре бакалавры будут учиться писать и представлять свою научную работу на 4 семестр.
2659,"дисциплина сконцентрирована на восприятии операционной системы как элемента информационно-технологической инфраструктуры, критически влияющего на производительность, надежность и безопасность программных средств. в курсе рассматриваются основные компоненты операционной системы, различные архитектуры ядер операционных систем и их влияние на характеристики ос, методы и алгоритмы управления ресурсами вычислительной системы и принципы обеспечения безопасности в современных операционных системах. в завершающей части курса поднимаются вопросы построения распределенных операционных систем и облачных решений.","В завершающей части курса рассматриваются основные компоненты операционной системы, методы и алгоритмы управления ресурсами вычислительной системы и облачные решения."
19047,"курс посвящен теоретическому анализу и экспериментальным демонстрациям основных явлений, связанных с излучением света и его распространением в вакууме и в материальных средах на базе волновой теории (на количественном уровне) и в рамках корпускулярного подхода (на качественном уровне), а также обзору технических приложений основных идей классической оптики. дополнительными целями курса являются демонстрация связи законов волновой оптики с классической (неквантовой) электродинамикой, аналогий между оптическими и квантовомеханическими явлениями и постепенная подготовка слушателей к восприятию современных концепций квантовой механики, квантовой электродинамики и всей микро- и нанофизики.",Курс посвящен теоретическому анализу и экспериментальным демонстрациям основных законов волновой оптики и квантовой электродинамики.
33093,(первый семестр),Первый семестр.
31041,"дисциплина посвящена изучению параметров, характеристик и принципов работы оптико-цифровых приборов в целом, а также основных устройств, входящих в их состав (многоэлементные приемники оптического излучения, устройства усиления и обработки видеосигнала и т.п.). также рассмотрены вопросы получения цветного и стереоскопического изображения.","В дисциплине изучаются характеристики и принципы работы оптико-цифровых приборов, а также основные устройства, входящие в их состав."
